dataset,rel_type,rel_num,augmentation,subj_position,subject,template,to_send,num_tokens_sub,unrelated_origin,corr_answer,repetition,num_tokens_obj
LAMA_Trex,Hu_original,P176,zero ,,,[X] is produced by [Y] .,is produced by,0,,unspecified,,
LAMA_Trex,Hu_original,P176,original,,Toyota Etios,[X] is produced by [Y] .,Toyota Etios is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Supra,[X] is produced by [Y] .,Toyota Supra is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Previa,[X] is produced by [Y] .,Toyota Previa is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Dyna,[X] is produced by [Y] .,Toyota Dyna is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Tundra,[X] is produced by [Y] .,Toyota Tundra is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Tacoma,[X] is produced by [Y] .,Toyota Tacoma is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Origin,[X] is produced by [Y] .,Toyota Origin is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Highlander,[X] is produced by [Y] .,Toyota Highlander is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Auris,[X] is produced by [Y] .,Toyota Auris is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota RAV4,[X] is produced by [Y] .,Toyota RAV4 is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Matrix,[X] is produced by [Y] .,Toyota Matrix is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Camry,[X] is produced by [Y] .,Toyota Camry is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota MR2,[X] is produced by [Y] .,Toyota MR2 is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Cressida,[X] is produced by [Y] .,Toyota Cressida is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Hilux,[X] is produced by [Y] .,Toyota Hilux is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota AE86,[X] is produced by [Y] .,Toyota AE86 is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Corolla,[X] is produced by [Y] .,Toyota Corolla is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota ist,[X] is produced by [Y] .,Toyota ist is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota FT-HS,[X] is produced by [Y] .,Toyota FT-HS is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota GT-86,[X] is produced by [Y] .,Toyota GT-86 is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Mirai,[X] is produced by [Y] .,Toyota Mirai is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Cresta,[X] is produced by [Y] .,Toyota Cresta is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Celica,[X] is produced by [Y] .,Toyota Celica is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Sprinter,[X] is produced by [Y] .,Toyota Sprinter is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota TS010,[X] is produced by [Y] .,Toyota TS010 is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Prius,[X] is produced by [Y] .,Toyota Prius is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Sienna,[X] is produced by [Y] .,Toyota Sienna is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Sequoia,[X] is produced by [Y] .,Toyota Sequoia is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Avalon,[X] is produced by [Y] .,Toyota Avalon is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Starlet,[X] is produced by [Y] .,Toyota Starlet is produced by,2,,Toyota,yes,1
LAMA_Trex,Hu_original,P176,original,,Toyota Avanza,[X] is produced by [Y] .,Toyota Avanza is produced by,2,,Toyota,yes,1
