dataset,rel_type,rel_num,augmentation,subj_position,subject,template,to_send,num_tokens_sub,unrelated_origin,corr_answer,repetition,num_tokens_obj
LAMA_Trex,Hu_original,P740,original,,Pianos Become the Teeth,[X] was founded in [Y] .,Pianos Become the Teeth was founded in ,,,Baltimore,,
LAMA_Trex,Hu_original,P740,original,,Barren Earth,[X] was founded in [Y] .,Barren Earth was founded in ,,,Helsinki,,
LAMA_Trex,Hu_original,P740,original,,SNCF,[X] was founded in [Y] .,SNCF was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,Starwood Capital Group,[X] was founded in [Y] .,Starwood Capital Group was founded in ,,,Greenwich,,
LAMA_Trex,Hu_original,P740,original,,Clap Your Hands Say Yeah,[X] was founded in [Y] .,Clap Your Hands Say Yeah was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Cocteau Twins,[X] was founded in [Y] .,Cocteau Twins was founded in ,,,Scotland,,
LAMA_Trex,Hu_original,P740,original,,Odex,[X] was founded in [Y] .,Odex was founded in ,,,Singapore,,
LAMA_Trex,Hu_original,P740,original,,Swiss Federal Railways,[X] was founded in [Y] .,Swiss Federal Railways was founded in ,,,Bern,,
LAMA_Trex,Hu_original,P740,original,,Scott Paper Company,[X] was founded in [Y] .,Scott Paper Company was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Comerica,[X] was founded in [Y] .,Comerica was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,Lenovo,[X] was founded in [Y] .,Lenovo was founded in ,,,Beijing,,
LAMA_Trex,Hu_original,P740,original,,Melody Club,[X] was founded in [Y] .,Melody Club was founded in ,,,Sweden,,
LAMA_Trex,Hu_original,P740,original,,Chvrches,[X] was founded in [Y] .,Chvrches was founded in ,,,Glasgow,,
LAMA_Trex,Hu_original,P740,original,,The Boat People,[X] was founded in [Y] .,The Boat People was founded in ,,,Brisbane,,
LAMA_Trex,Hu_original,P740,original,,Dragonette,[X] was founded in [Y] .,Dragonette was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,Hostage Life,[X] was founded in [Y] .,Hostage Life was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,Coffin Break,[X] was founded in [Y] .,Coffin Break was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Ganz Works,[X] was founded in [Y] .,Ganz Works was founded in ,,,Budapest,,
LAMA_Trex,Hu_original,P740,original,,Iran Airtour,[X] was founded in [Y] .,Iran Airtour was founded in ,,,Tehran,,
LAMA_Trex,Hu_original,P740,original,,The Parlotones,[X] was founded in [Y] .,The Parlotones was founded in ,,,Johannesburg,,
LAMA_Trex,Hu_original,P740,original,,Sweet Jesus,[X] was founded in [Y] .,Sweet Jesus was founded in ,,,Birmingham,,
LAMA_Trex,Hu_original,P740,original,,German Alpine Club,[X] was founded in [Y] .,German Alpine Club was founded in ,,,Munich,,
LAMA_Trex,Hu_original,P740,original,,Ohbijou,[X] was founded in [Y] .,Ohbijou was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,Morton Salt,[X] was founded in [Y] .,Morton Salt was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Armani,[X] was founded in [Y] .,Armani was founded in ,,,Milan,,
LAMA_Trex,Hu_original,P740,original,,Malaguti,[X] was founded in [Y] .,Malaguti was founded in ,,,Bologna,,
LAMA_Trex,Hu_original,P740,original,,Neko Entertainment,[X] was founded in [Y] .,Neko Entertainment was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,The Moody Blues,[X] was founded in [Y] .,The Moody Blues was founded in ,,,Birmingham,,
LAMA_Trex,Hu_original,P740,original,,Kurt Vile,[X] was founded in [Y] .,Kurt Vile was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,The Brothers Martin,[X] was founded in [Y] .,The Brothers Martin was founded in ,,,Riverside,,
LAMA_Trex,Hu_original,P740,original,,The Besnard Lakes,[X] was founded in [Y] .,The Besnard Lakes was founded in ,,,Montreal,,
LAMA_Trex,Hu_original,P740,original,,Alfaguara,[X] was founded in [Y] .,Alfaguara was founded in ,,,Madrid,,
LAMA_Trex,Hu_original,P740,original,,Hot Cross,[X] was founded in [Y] .,Hot Cross was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Neon Christ,[X] was founded in [Y] .,Neon Christ was founded in ,,,Atlanta,,
LAMA_Trex,Hu_original,P740,original,,Kakao M,[X] was founded in [Y] .,Kakao M was founded in ,,,Seoul,,
LAMA_Trex,Hu_original,P740,original,,Team Syachihoko,[X] was founded in [Y] .,Team Syachihoko was founded in ,,,Nagoya,,
LAMA_Trex,Hu_original,P740,original,,Sweet Savage,[X] was founded in [Y] .,Sweet Savage was founded in ,,,Belfast,,
LAMA_Trex,Hu_original,P740,original,,Cook da Books,[X] was founded in [Y] .,Cook da Books was founded in ,,,Liverpool,,
LAMA_Trex,Hu_original,P740,original,,Black Tide,[X] was founded in [Y] .,Black Tide was founded in ,,,Miami,,
LAMA_Trex,Hu_original,P740,original,,Hupmobile,[X] was founded in [Y] .,Hupmobile was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,Essanay Studios,[X] was founded in [Y] .,Essanay Studios was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Popu Lady,[X] was founded in [Y] .,Popu Lady was founded in ,,,Taiwan,,
LAMA_Trex,Hu_original,P740,original,,Beechcraft,[X] was founded in [Y] .,Beechcraft was founded in ,,,Wichita,,
LAMA_Trex,Hu_original,P740,original,,The Miserable Rich,[X] was founded in [Y] .,The Miserable Rich was founded in ,,,Brighton,,
LAMA_Trex,Hu_original,P740,original,,Pink Fairies,[X] was founded in [Y] .,Pink Fairies was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,The Coca-Cola Company,[X] was founded in [Y] .,The Coca-Cola Company was founded in ,,,Atlanta,,
LAMA_Trex,Hu_original,P740,original,,Givers,[X] was founded in [Y] .,Givers was founded in ,,,Lafayette,,
LAMA_Trex,Hu_original,P740,original,,The Gracious Few,[X] was founded in [Y] .,The Gracious Few was founded in ,,,York,,
LAMA_Trex,Hu_original,P740,original,,Archaeopress,[X] was founded in [Y] .,Archaeopress was founded in ,,,Oxford,,
LAMA_Trex,Hu_original,P740,original,,Piranha Games,[X] was founded in [Y] .,Piranha Games was founded in ,,,Vancouver,,
LAMA_Trex,Hu_original,P740,original,,Constantin Film,[X] was founded in [Y] .,Constantin Film was founded in ,,,Frankfurt,,
LAMA_Trex,Hu_original,P740,original,,The Answering Machine,[X] was founded in [Y] .,The Answering Machine was founded in ,,,Manchester,,
LAMA_Trex,Hu_original,P740,original,,The Mess Hall,[X] was founded in [Y] .,The Mess Hall was founded in ,,,Sydney,,
LAMA_Trex,Hu_original,P740,original,,E.Town Concrete,[X] was founded in [Y] .,E.Town Concrete was founded in ,,,Elizabeth,,
LAMA_Trex,Hu_original,P740,original,,Ericsson,[X] was founded in [Y] .,Ericsson was founded in ,,,Stockholm,,
LAMA_Trex,Hu_original,P740,original,,Kasabian,[X] was founded in [Y] .,Kasabian was founded in ,,,Leicester,,
LAMA_Trex,Hu_original,P740,original,,Cronian,[X] was founded in [Y] .,Cronian was founded in ,,,Norway,,
LAMA_Trex,Hu_original,P740,original,,Regis Corporation,[X] was founded in [Y] .,Regis Corporation was founded in ,,,Minneapolis,,
LAMA_Trex,Hu_original,P740,original,,RuPaul,[X] was founded in [Y] .,RuPaul was founded in ,,,Atlanta,,
LAMA_Trex,Hu_original,P740,original,,Eisley,[X] was founded in [Y] .,Eisley was founded in ,,,Tyler,,
LAMA_Trex,Hu_original,P740,original,,Stevie Wonder,[X] was founded in [Y] .,Stevie Wonder was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,World Population Foundation,[X] was founded in [Y] .,World Population Foundation was founded in ,,,Netherlands,,
LAMA_Trex,Hu_original,P740,original,,Fucked Up,[X] was founded in [Y] .,Fucked Up was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,Aiden,[X] was founded in [Y] .,Aiden was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Tableau Software,[X] was founded in [Y] .,Tableau Software was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Philadelphia Savings Fund Society,[X] was founded in [Y] .,Philadelphia Savings Fund Society was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Diamond Plate,[X] was founded in [Y] .,Diamond Plate was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Persian Risk,[X] was founded in [Y] .,Persian Risk was founded in ,,,Cardiff,,
LAMA_Trex,Hu_original,P740,original,,Econoline Crush,[X] was founded in [Y] .,Econoline Crush was founded in ,,,Vancouver,,
LAMA_Trex,Hu_original,P740,original,,Mambo Taxi,[X] was founded in [Y] .,Mambo Taxi was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Anarchy Club,[X] was founded in [Y] .,Anarchy Club was founded in ,,,Boston,,
LAMA_Trex,Hu_original,P740,original,,ReVamp,[X] was founded in [Y] .,ReVamp was founded in ,,,Netherlands,,
LAMA_Trex,Hu_original,P740,original,,The Xcerts,[X] was founded in [Y] .,The Xcerts was founded in ,,,Aberdeen,,
